cid,cierre,apertura
440,2019-03-06 23:03:43,2019-03-21 04:44:41
441,2011-01-01 06:44:13,2011-01-13 16:35:44
442,2010-06-01 20:44:14,2010-06-10 20:46:07
443,2017-10-05 15:21:46,2017-10-20 03:01:38
444,2016-11-06 21:16:40,2016-11-17 01:59:05
445,2012-07-27 16:12:21,2012-07-31 18:38:27
446,2019-08-16 13:21:07,2019-08-24 03:56:33
447,2014-07-15 04:41:35,2014-07-29 10:39:49
448,2018-09-26 03:40:10,2018-10-05 20:08:18
449,2010-02-11 05:07:10,2010-02-25 05:13:46
450,2010-09-15 22:40:35,2010-09-21 04:18:09
451,2013-11-15 04:59:28,2013-11-20 20:29:45
452,2011-03-07 06:01:45,2011-03-20 12:44:22
453,2012-02-06 10:45:47,2012-02-20 13:18:35
454,2014-04-07 23:51:01,2014-04-20 00:25:07
455,2018-04-25 23:02:44,2018-04-29 14:54:16
456,2017-01-17 15:19:14,2017-01-27 07:52:20
457,2014-12-30 22:53:45,2015-01-13 02:54:26
458,2013-11-22 19:16:11,2013-11-26 19:34:45
459,2017-10-20 17:10:40,2017-10-24 04:01:31
460,2018-07-24 16:22:16,2018-08-04 07:12:31
461,2016-03-22 10:33:49,2016-04-01 22:22:34
462,2014-01-12 17:51:02,2014-01-19 04:04:17
463,2013-03-16 05:07:13,2013-03-29 09:41:34
464,2012-11-30 15:22:51,2012-12-03 22:22:38
465,2013-11-22 19:56:10,2013-11-30 11:52:32
466,2018-05-10 07:26:44,2018-05-17 12:03:13
467,2019-10-15 02:48:16,2019-10-27 05:28:12
468,2016-04-25 00:57:56,2016-05-05 13:24:58
469,2017-12-02 21:53:43,2017-12-07 05:39:37
470,2012-04-25 16:55:05,2012-05-05 19:29:24
471,2017-01-09 15:34:41,2017-01-14 01:15:43
472,2014-06-24 12:20:44,2014-07-03 13:09:10
473,2019-03-08 20:42:00,2019-03-15 06:15:11
474,2017-10-09 08:30:21,2017-10-13 21:35:02
475,2014-01-15 00:07:33,2014-01-28 13:26:04
476,2011-01-23 22:45:51,2011-01-31 11:30:07
477,2017-12-01 01:18:22,2017-12-13 03:28:49
478,2011-11-10 07:24:18,2011-11-20 11:38:39
479,2019-03-23 17:39:32,2019-03-29 05:38:41
480,2013-01-11 06:50:31,2013-01-20 17:07:37
481,2018-02-04 01:39:36,2018-02-17 03:32:33
482,2011-12-14 00:35:11,2011-12-28 11:48:45
483,2013-03-21 06:11:56,2013-04-03 17:17:42
484,2016-03-09 11:17:10,2016-03-21 14:49:51
485,2015-03-12 04:40:40,2015-03-25 12:30:20
486,2019-07-30 10:13:01,2019-08-09 12:49:02
487,2018-08-07 03:42:20,2018-08-19 05:30:27
488,2018-02-01 03:40:33,2018-02-04 06:22:35
489,2020-07-08 07:29:03,2020-07-16 08:25:06
490,2017-11-08 18:53:28,2017-11-20 04:02:58
491,2018-05-17 15:56:48,2018-05-29 08:35:24
492,2013-05-07 09:42:46,2013-05-16 12:00:58
493,2015-08-30 20:33:33,2015-09-10 22:50:04
494,2016-10-01 12:18:14,2016-10-04 22:21:14
495,2013-01-22 00:00:29,2013-02-03 00:46:38
496,2015-12-18 17:47:51,2015-12-30 06:25:43
497,2015-05-06 08:49:13,2015-05-19 19:26:43
498,2011-09-12 00:41:48,2011-09-20 03:45:25
499,2014-01-09 21:34:34,2014-01-13 11:28:51
500,2011-05-28 03:31:18,2011-06-06 19:07:12
501,2020-04-24 23:49:47,2020-05-01 15:01:08
502,2016-04-27 10:56:13,2016-05-11 14:46:39
503,2014-10-31 09:13:35,2014-11-12 14:56:31
504,2010-06-26 11:24:50,2010-07-08 11:36:53
505,2013-12-28 01:44:01,2014-01-03 11:12:42
506,2012-05-01 13:59:49,2012-05-08 19:04:19
507,2016-12-18 07:09:13,2016-12-24 15:41:24
508,2015-09-27 09:11:55,2015-10-01 18:26:30
509,2019-06-13 07:14:11,2019-06-22 09:12:59
510,2016-05-20 15:35:44,2016-06-04 06:15:47
511,2012-10-05 00:28:09,2012-10-19 00:37:42
512,2013-09-09 06:34:28,2013-09-12 15:06:17
513,2013-12-22 16:53:31,2013-12-25 23:55:22
514,2015-06-08 19:43:34,2015-06-22 07:44:36
515,2017-09-03 07:23:40,2017-09-06 22:15:42
516,2010-02-28 13:06:13,2010-03-08 00:32:50
517,2018-05-25 12:19:46,2018-06-04 13:49:04
518,2018-03-14 16:07:57,2018-03-22 07:23:49
519,2015-03-25 21:36:06,2015-04-08 03:03:05
520,2015-10-15 20:09:04,2015-10-23 04:22:17
521,2013-10-29 06:43:32,2013-11-12 21:31:10
522,2014-11-14 18:40:37,2014-11-25 06:28:36
523,2013-10-11 13:10:49,2013-10-23 13:49:40
524,2016-10-04 05:01:11,2016-10-11 11:06:35
525,2020-02-08 22:56:05,2020-02-12 13:36:33
526,2018-07-01 09:09:20,2018-07-09 20:21:43
527,2017-09-27 06:29:47,2017-10-02 06:59:27
528,2014-10-31 08:05:14,2014-11-09 20:15:31
529,2013-07-19 07:02:02,2013-07-24 08:48:58
530,2016-12-25 07:48:08,2016-12-30 08:52:12
531,2010-02-14 16:54:07,2010-02-24 19:38:11
532,2016-11-10 23:06:01,2016-11-18 03:38:23
533,2020-05-08 04:21:09,2020-05-12 06:47:44
534,2020-01-06 16:47:39,2020-01-21 08:34:59
535,2017-08-05 14:04:02,2017-08-15 18:04:55
536,2020-01-12 03:13:45,2020-01-26 07:30:56
537,2012-10-01 15:44:29,2012-10-09 04:07:43
538,2013-03-17 14:10:33,2013-03-30 17:13:13
539,2016-09-20 13:13:47,2016-10-02 21:46:12
540,2014-12-23 15:46:27,2014-12-28 17:19:03
541,2019-06-04 18:54:45,2019-06-08 23:21:25
542,2018-08-03 14:07:44,2018-08-17 15:53:07
543,2013-02-26 05:28:50,2013-03-04 21:09:03
544,2016-03-26 13:52:36,2016-04-08 22:24:59
545,2014-03-15 01:31:11,2014-03-26 15:07:39
546,2020-08-02 02:00:27,2020-08-07 17:42:22
547,2015-06-30 20:00:11,2015-07-08 04:13:42
548,2014-10-26 21:39:39,2014-11-08 11:31:09
549,2014-05-31 15:30:16,2014-06-08 05:43:40
550,2018-04-22 09:08:49,2018-04-28 15:38:37
551,2011-05-19 01:24:48,2011-06-02 02:27:28
552,2013-01-09 05:13:39,2013-01-19 05:58:49
553,2013-03-27 00:31:22,2013-04-07 04:49:53
554,2020-01-29 22:15:48,2020-02-04 08:18:22
555,2011-05-19 04:05:01,2011-06-02 19:32:42
556,2019-11-10 06:26:28,2019-11-14 20:40:34
557,2015-11-16 03:58:08,2015-11-24 09:13:22
558,2016-09-27 16:20:17,2016-10-12 08:52:10
559,2010-07-21 14:36:25,2010-07-25 01:42:59
560,2018-03-25 00:29:32,2018-04-08 15:00:34
561,2010-11-27 16:40:48,2010-12-08 00:53:06
562,2015-01-04 23:17:00,2015-01-12 09:31:35
563,2011-03-24 10:06:38,2011-03-30 17:27:26
564,2020-03-26 06:18:35,2020-04-04 10:38:49
565,2012-12-17 09:26:01,2012-12-20 19:26:08
566,2018-02-11 01:13:33,2018-02-19 16:53:23
567,2016-09-05 08:28:09,2016-09-09 20:47:32
568,2019-03-25 08:30:25,2019-04-03 16:09:14
569,2019-03-24 11:35:19,2019-04-05 20:01:06
570,2016-06-27 09:37:08,2016-07-10 20:17:47
571,2020-03-31 15:08:47,2020-04-10 06:33:55
572,2015-01-07 09:44:29,2015-01-21 02:08:52
573,2017-11-13 16:53:14,2017-11-21 19:00:39
574,2017-07-21 14:29:50,2017-08-03 23:28:38
575,2019-08-30 23:45:45,2019-09-11 02:53:48
576,2017-04-29 00:40:20,2017-05-05 04:05:03
577,2020-08-10 16:43:20,2020-08-18 02:03:30
578,2018-03-07 03:04:33,2018-03-20 09:06:49
579,2018-05-01 07:58:40,2018-05-07 21:23:48
580,2016-05-11 15:26:43,2016-05-26 03:03:10
581,2018-10-31 01:21:54,2018-11-08 17:50:07
582,2019-03-12 21:19:12,2019-03-17 22:25:37
583,2016-01-14 11:44:56,2016-01-21 02:47:03
584,2013-04-30 06:43:16,2013-05-10 20:11:26
585,2017-01-14 13:27:28,2017-01-26 23:35:03
586,2014-09-10 14:29:48,2014-09-15 04:44:26
587,2013-02-22 05:41:25,2013-03-07 06:15:02
588,2011-05-02 12:23:42,2011-05-10 12:50:28
589,2017-11-26 19:11:31,2017-12-01 10:22:06
590,2011-08-05 07:27:58,2011-08-09 07:34:00
591,2013-09-05 21:43:52,2013-09-12 14:18:22
592,2015-08-06 07:45:15,2015-08-12 19:57:06
593,2011-06-01 16:42:14,2011-06-15 18:52:13
594,2011-04-09 02:06:42,2011-04-19 08:33:02
595,2018-06-09 14:00:43,2018-06-15 05:25:27
596,2010-04-18 03:22:05,2010-04-28 12:43:04
597,2012-08-15 11:03:40,2012-08-21 18:20:47
598,2014-12-17 03:57:36,2014-12-20 07:20:53
599,2017-03-14 21:47:05,2017-03-25 23:46:29
600,2013-10-04 02:37:44,2013-10-18 11:24:18
601,2011-07-11 02:27:53,2011-07-25 09:25:43
602,2018-12-24 03:20:26,2018-12-27 13:29:54
603,2016-09-02 04:47:05,2016-09-16 05:53:12
604,2018-02-22 17:39:02,2018-02-28 02:20:53
605,2020-02-23 23:41:55,2020-03-07 06:44:11
606,2017-06-29 15:56:36,2017-07-05 16:01:27
607,2019-06-28 22:46:41,2019-07-11 09:25:00
608,2012-03-10 20:15:40,2012-03-14 10:04:43
609,2020-09-05 12:13:39,2020-09-20 00:13:02
610,2016-08-05 18:50:47,2016-08-17 06:36:04
611,2016-01-26 23:36:11,2016-01-30 12:35:42
612,2017-03-22 09:12:10,2017-03-26 21:37:45
613,2011-01-31 20:22:55,2011-02-09 01:58:02
614,2017-02-14 03:42:24,2017-02-21 11:15:09
615,2011-02-07 18:55:40,2011-02-20 08:13:15
616,2013-05-18 08:16:35,2013-05-24 21:30:21
617,2014-08-24 17:29:23,2014-09-05 00:20:09
618,2015-12-18 18:24:53,2015-12-25 07:50:19
619,2017-08-25 03:16:03,2017-08-28 03:29:50
620,2011-08-26 16:40:54,2011-08-31 19:45:57
621,2016-04-28 10:18:55,2016-05-04 01:56:32
622,2010-09-27 21:48:09,2010-10-06 23:02:14
623,2012-01-12 04:16:30,2012-01-20 17:35:02
624,2016-09-04 15:05:37,2016-09-09 20:08:54
625,2019-11-23 04:38:33,2019-11-28 14:52:03
626,2013-08-01 17:14:23,2013-08-04 17:23:19
627,2019-05-26 22:50:20,2019-06-06 04:08:07
628,2018-04-05 10:59:19,2018-04-14 17:13:29
629,2020-04-04 09:03:33,2020-04-18 13:28:43
630,2020-05-19 15:31:44,2020-05-27 22:54:33
631,2014-06-26 14:42:34,2014-07-04 04:00:42
632,2019-11-13 21:46:44,2019-11-26 22:15:47
633,2019-01-31 13:45:10,2019-02-09 14:55:13
634,2016-10-05 10:28:54,2016-10-19 20:20:20
635,2016-07-25 00:24:39,2016-08-02 16:26:12
636,2015-10-10 23:17:32,2015-10-17 05:11:31
637,2018-07-20 05:45:54,2018-08-01 08:12:32
638,2019-11-14 08:14:45,2019-11-23 00:10:20
639,2018-12-24 04:58:05,2019-01-02 09:59:59
640,2020-06-05 19:01:31,2020-06-13 11:31:54
641,2017-06-15 02:32:57,2017-06-27 04:33:35
642,2015-05-17 14:46:06,2015-05-23 22:58:46
643,2018-08-01 07:14:42,2018-08-06 18:41:03
644,2014-09-19 16:41:40,2014-10-01 21:02:59
645,2014-12-01 08:53:16,2014-12-11 17:35:24
646,2012-07-06 01:35:09,2012-07-17 01:43:27
647,2015-11-06 04:51:38,2015-11-10 13:14:52
648,2018-10-08 09:47:46,2018-10-16 16:03:44
649,2018-03-17 12:43:52,2018-03-29 13:23:05
650,2018-07-09 05:12:53,2018-07-22 18:38:44
651,2019-12-07 16:40:59,2019-12-19 02:38:24
652,2015-11-23 21:00:09,2015-11-29 07:15:58
653,2010-05-13 06:54:39,2010-05-21 13:11:37
654,2011-02-23 03:02:22,2011-02-26 14:21:07
655,2011-09-20 00:24:05,2011-09-26 04:58:51
656,2018-06-28 05:22:57,2018-07-07 06:24:56
657,2014-06-26 10:06:02,2014-07-07 21:08:16
658,2011-12-06 12:32:45,2011-12-15 04:54:39
659,2019-08-16 16:50:11,2019-08-22 02:30:31
660,2014-08-08 20:23:36,2014-08-22 05:22:36
661,2017-12-26 00:36:00,2018-01-01 07:57:02
662,2018-07-18 14:15:56,2018-07-25 19:43:07
663,2010-01-29 22:52:04,2010-02-05 05:26:47
664,2016-09-02 06:25:32,2016-09-11 15:45:00
665,2014-11-27 02:52:55,2014-12-09 14:50:29
666,2015-10-04 11:25:25,2015-10-11 12:59:02
667,2010-11-28 01:50:58,2010-12-10 10:32:38
668,2018-11-30 21:24:54,2018-12-06 05:07:03
669,2012-07-18 04:30:04,2012-07-23 12:54:37
670,2011-02-09 01:43:59,2011-02-14 10:24:43
671,2017-11-09 13:21:08,2017-11-24 04:06:03
672,2013-07-25 15:35:39,2013-08-05 23:13:09
673,2012-08-20 17:03:40,2012-08-28 02:25:14
674,2013-11-26 02:03:40,2013-12-09 09:25:44
675,2012-04-14 21:06:00,2012-04-21 23:58:12
676,2016-01-06 11:20:23,2016-01-10 16:50:59
677,2019-03-21 07:18:59,2019-04-04 11:36:30
678,2013-12-24 04:43:50,2013-12-27 10:47:57
679,2015-08-06 19:49:14,2015-08-14 05:06:40
680,2015-12-27 05:43:37,2016-01-10 09:44:22
681,2014-05-28 16:12:42,2014-06-11 20:41:27
682,2016-08-23 16:36:13,2016-08-31 02:19:35
683,2011-05-23 20:15:34,2011-05-30 01:42:21
684,2011-01-30 21:28:28,2011-02-07 08:20:17
685,2015-03-19 04:32:35,2015-04-01 20:29:42
686,2013-02-12 03:19:00,2013-02-20 07:35:11
687,2020-08-20 09:17:13,2020-08-26 11:25:38
688,2020-03-10 09:14:52,2020-03-24 23:06:22
689,2011-09-05 16:18:37,2011-09-12 01:09:53
690,2020-05-04 17:20:31,2020-05-12 05:17:49
691,2016-01-05 22:13:23,2016-01-16 03:52:43
692,2012-04-02 13:53:01,2012-04-16 22:59:49
693,2015-04-07 09:18:40,2015-04-11 20:49:09
694,2011-02-13 21:06:15,2011-02-17 01:05:39
695,2017-01-05 16:49:05,2017-01-16 02:10:00
696,2015-09-05 23:39:37,2015-09-13 04:49:35
697,2014-08-03 01:30:40,2014-08-07 08:24:06
698,2018-11-19 16:24:38,2018-11-28 22:48:31
699,2015-08-30 03:43:43,2015-09-05 15:01:26
700,2015-12-04 16:58:32,2015-12-13 00:47:07
701,2017-02-24 22:26:36,2017-03-05 09:11:23
702,2016-09-27 16:28:44,2016-10-03 22:55:00
703,2019-03-30 01:52:50,2019-04-11 05:37:18
704,2017-07-30 11:30:06,2017-08-11 02:40:47
705,2020-05-24 05:47:46,2020-06-01 16:57:08
706,2010-06-09 06:00:13,2010-06-15 07:18:36
707,2018-05-20 10:44:19,2018-05-31 11:56:26
708,2010-08-03 11:34:37,2010-08-13 21:56:24
709,2019-03-04 08:53:38,2019-03-17 11:51:39
710,2013-10-11 04:15:05,2013-10-21 12:41:54
711,2017-01-11 04:42:02,2017-01-17 19:36:12
712,2015-01-22 02:02:30,2015-01-28 09:19:21
713,2018-02-21 04:18:56,2018-02-24 15:33:41
714,2019-02-25 05:21:24,2019-03-02 14:53:14
715,2010-08-05 23:46:53,2010-08-20 05:28:36
716,2017-09-11 12:10:16,2017-09-17 18:05:00
717,2020-04-18 20:34:41,2020-05-01 05:11:28
718,2020-01-22 13:04:51,2020-01-29 19:25:55
719,2013-08-12 09:55:57,2013-08-21 16:39:42
720,2015-11-03 02:32:33,2015-11-12 05:33:54
721,2019-04-18 15:49:17,2019-05-02 19:17:28
722,2015-07-29 16:35:16,2015-08-05 16:53:25
723,2014-05-08 05:39:58,2014-05-17 16:20:24
724,2016-02-11 01:01:24,2016-02-18 12:07:08
725,2013-02-06 17:46:01,2013-02-11 20:37:38
726,2012-09-05 23:24:13,2012-09-18 06:51:44
727,2014-11-14 22:02:40,2014-11-26 02:37:22
728,2013-10-12 16:42:57,2013-10-22 09:03:21
729,2011-07-13 22:37:33,2011-07-25 14:13:48
730,2013-06-29 16:40:38,2013-07-05 21:55:20
731,2013-02-04 09:31:24,2013-02-16 12:50:29
732,2010-12-17 22:42:27,2010-12-23 02:01:37
733,2014-03-31 18:07:03,2014-04-03 21:32:26
734,2015-11-24 03:05:13,2015-12-02 19:17:39
735,2014-08-26 16:27:22,2014-09-02 00:26:04
736,2017-04-28 21:24:54,2017-05-09 08:21:43
737,2011-12-29 06:38:21,2012-01-05 15:44:08
738,2016-08-03 09:53:45,2016-08-06 10:19:10
739,2013-09-28 17:35:28,2013-10-08 19:05:09
740,2016-12-12 11:14:57,2016-12-18 22:14:32
741,2015-11-12 09:54:02,2015-11-21 18:51:22
742,2018-03-28 10:55:31,2018-04-09 00:00:49
743,2013-03-29 16:00:44,2013-04-05 04:47:36
744,2014-01-24 06:36:08,2014-01-29 19:22:41
745,2014-03-14 08:49:56,2014-03-17 15:58:17
746,2016-09-03 09:39:59,2016-09-16 11:17:31
747,2010-05-20 12:24:07,2010-06-04 01:52:53
748,2014-05-26 15:25:43,2014-06-02 00:15:25
749,2016-10-23 03:13:00,2016-11-06 17:48:26
750,2017-03-30 05:28:39,2017-04-13 11:36:33
751,2013-05-01 06:39:42,2013-05-12 18:49:58
752,2018-01-20 23:12:15,2018-01-26 12:55:42
753,2013-11-30 19:45:16,2013-12-13 01:29:21
754,2011-12-15 03:12:51,2011-12-24 09:13:55
755,2013-02-05 17:39:25,2013-02-10 01:46:10
756,2019-10-10 16:51:31,2019-10-14 07:18:40
757,2016-11-19 02:14:00,2016-11-29 08:27:37
758,2013-12-27 22:58:02,2014-01-09 14:47:39
759,2018-02-19 05:42:24,2018-03-03 13:00:16
760,2012-09-10 15:01:21,2012-09-23 05:08:10
761,2011-06-19 09:33:21,2011-07-01 01:44:28
762,2010-01-29 05:59:51,2010-02-06 15:54:08
763,2010-04-06 07:49:17,2010-04-15 22:21:02
764,2013-05-02 04:30:56,2013-05-11 08:23:51
765,2011-12-02 18:57:07,2011-12-10 09:36:16
766,2019-08-13 14:58:41,2019-08-19 21:34:21
767,2017-09-30 11:55:14,2017-10-08 04:23:09
768,2012-03-15 10:26:10,2012-03-26 12:55:57
769,2014-10-21 00:34:57,2014-11-04 07:47:17
770,2010-05-18 05:59:08,2010-05-23 21:54:54
771,2013-01-07 09:45:13,2013-01-21 02:05:29
772,2017-03-04 01:20:25,2017-03-12 03:01:57
773,2011-07-07 22:03:41,2011-07-10 22:20:20
774,2011-08-30 18:12:08,2011-09-09 01:13:52
775,2018-04-14 06:31:50,2018-04-28 15:29:33
776,2010-02-17 17:07:24,2010-02-22 06:20:11
777,2013-11-11 23:18:14,2013-11-18 01:03:08
778,2018-04-04 15:01:45,2018-04-15 21:04:47
779,2017-03-18 11:41:17,2017-03-22 20:24:06
780,2019-09-08 12:19:56,2019-09-11 22:02:54
781,2015-05-27 12:28:21,2015-06-07 03:04:35
782,2016-06-27 11:28:07,2016-07-03 22:01:58
783,2020-01-20 04:42:32,2020-01-26 12:09:31
784,2012-07-07 02:13:35,2012-07-16 16:02:10
785,2011-08-12 16:33:49,2011-08-16 04:17:18
786,2013-11-25 14:57:49,2013-12-05 04:11:58
787,2019-03-14 17:41:03,2019-03-28 04:08:00
788,2017-03-22 03:24:07,2017-04-05 12:18:46
789,2011-01-25 06:21:52,2011-02-05 14:30:31
790,2017-06-28 09:27:57,2017-07-06 20:27:14
791,2020-07-10 12:44:33,2020-07-21 02:08:32
792,2010-12-09 02:06:38,2010-12-20 08:03:26
793,2011-03-30 09:04:22,2011-04-09 13:41:19
794,2011-07-20 07:56:09,2011-07-23 13:08:20
795,2013-11-11 21:37:20,2013-11-16 04:10:02
796,2014-08-21 02:33:19,2014-08-27 12:52:45
797,2016-06-11 14:42:38,2016-06-16 18:49:58
798,2018-10-19 05:32:48,2018-10-22 09:23:10
799,2010-01-19 20:43:52,2010-02-03 10:33:52
800,2011-01-24 23:18:26,2011-02-02 05:16:51
801,2018-06-19 05:14:58,2018-06-25 20:50:21
802,2014-02-01 23:35:49,2014-02-14 03:31:28
803,2012-07-21 16:07:38,2012-07-27 00:31:51
804,2010-05-15 02:41:35,2010-05-25 11:16:36
805,2015-06-06 23:04:11,2015-06-18 06:39:21
806,2010-09-15 05:17:07,2010-09-24 15:33:46
807,2013-01-28 01:53:10,2013-02-03 11:32:55
808,2015-05-14 21:50:06,2015-05-26 02:03:44
809,2016-11-06 04:54:38,2016-11-20 16:21:11
810,2016-06-22 21:58:50,2016-07-02 06:14:30
811,2018-10-18 16:11:41,2018-10-25 00:06:15
812,2015-08-01 11:28:55,2015-08-13 19:08:29
813,2013-04-14 03:46:45,2013-04-19 08:00:56
814,2013-05-07 19:46:05,2013-05-13 02:06:54
815,2011-02-02 01:42:53,2011-02-15 15:08:32
816,2014-10-19 18:40:32,2014-11-01 08:58:27
817,2015-02-22 22:59:18,2015-03-03 15:04:07
818,2012-06-21 20:42:17,2012-07-04 08:28:01
819,2012-01-30 15:11:55,2012-02-10 22:00:44
820,2012-06-15 05:05:52,2012-06-18 17:45:13
821,2017-05-21 16:47:30,2017-06-03 23:40:58
822,2012-07-31 02:21:48,2012-08-07 06:21:28
823,2019-03-28 06:57:47,2019-04-10 22:04:44
824,2010-01-02 16:58:28,2010-01-17 03:55:58
825,2014-04-05 12:19:44,2014-04-16 01:00:49
826,2015-12-26 03:54:48,2016-01-03 10:02:59
827,2015-06-08 22:39:48,2015-06-23 01:10:49
828,2020-04-21 17:54:58,2020-04-29 23:44:00
829,2017-11-25 09:34:28,2017-11-29 12:11:52
830,2012-05-16 21:59:46,2012-05-31 03:13:25
831,2018-10-29 12:30:58,2018-11-03 15:17:18
832,2017-07-22 14:35:09,2017-08-01 02:57:41
833,2014-05-15 13:09:57,2014-05-24 03:19:42
834,2011-02-08 16:17:18,2011-02-13 19:32:41
835,2017-12-26 11:08:41,2018-01-04 16:25:46
836,2017-04-22 04:34:38,2017-05-05 14:46:52
837,2018-07-03 21:43:26,2018-07-16 09:35:06
838,2020-02-23 06:12:39,2020-03-06 19:31:22
839,2013-01-14 05:47:27,2013-01-20 16:59:01
840,2018-05-31 06:13:51,2018-06-04 18:42:23
841,2012-06-25 10:05:03,2012-07-02 22:38:23
842,2020-07-15 08:25:53,2020-07-24 14:54:06
843,2014-06-18 11:05:16,2014-06-21 13:00:55
844,2020-09-01 00:24:55,2020-09-09 14:26:14
845,2011-01-20 14:29:52,2011-01-26 15:13:17
846,2019-04-20 05:34:53,2019-05-03 20:43:31
847,2014-08-20 18:41:06,2014-09-03 06:03:23
848,2010-12-13 14:04:26,2010-12-18 05:12:06
849,2017-04-23 22:21:43,2017-05-02 04:49:33
850,2011-08-19 03:13:29,2011-08-22 15:46:04
851,2014-10-18 07:08:55,2014-10-24 10:27:21
852,2010-03-21 00:38:33,2010-04-04 04:35:11
853,2012-05-07 14:22:31,2012-05-17 01:33:49
854,2017-02-05 08:57:19,2017-02-12 17:09:45
855,2017-06-01 11:47:47,2017-06-10 20:19:01
856,2013-11-02 19:20:46,2013-11-13 07:21:26
857,2011-12-27 00:26:02,2012-01-09 16:57:02
858,2010-07-28 02:07:21,2010-08-03 05:40:41
859,2016-05-05 20:33:35,2016-05-14 09:11:21
860,2010-10-31 11:13:35,2010-11-04 13:49:15
861,2020-01-14 22:17:48,2020-01-23 03:18:33
862,2019-12-09 12:58:40,2019-12-20 22:22:29
863,2017-12-03 02:17:42,2017-12-15 06:14:15
864,2012-08-16 20:35:06,2012-08-28 03:55:28
865,2019-11-22 00:56:09,2019-11-27 10:56:54
866,2010-06-08 03:32:37,2010-06-20 07:36:48
867,2018-10-23 15:32:38,2018-11-06 08:09:58
868,2011-04-03 11:30:19,2011-04-13 20:55:50
869,2014-04-26 04:17:37,2014-04-30 15:43:32
870,2011-04-07 03:07:09,2011-04-18 10:18:27
871,2019-12-27 05:19:38,2020-01-09 08:35:14
872,2010-02-24 02:12:15,2010-03-01 02:49:22
873,2015-02-28 14:19:58,2015-03-11 06:37:32
874,2015-07-04 21:34:00,2015-07-16 08:37:35
875,2013-07-31 10:44:42,2013-08-09 10:51:49
876,2019-12-09 12:58:40,2019-12-20 22:22:29
